162.159.198.1:443#麒麟优选 | 09-06 08:10 | BestCF.pages.dev
172.64.147.74:443#麒麟优选 | 电信 | 172.64.147.74 | 44.38ms | 67.57mb/s
104.18.44.8:443#麒麟优选 | 电信 | 104.18.44.8 | 43.37ms | 67.54mb/s
172.64.159.68:443#麒麟优选 | 电信 | 172.64.159.68 | 42.75ms | 65.36mb/s
104.18.39.211:443#麒麟优选 | 电信 | 104.18.39.211 | 44.53ms | 61.37mb/s
172.64.154.245:443#麒麟优选 | 电信 | 172.64.154.245 | 44.43ms | 52.14mb/s
104.18.32.244:443#麒麟优选 | 电信 | 104.18.32.244 | 44.54ms | 40.44mb/s
172.64.148.18:443#麒麟优选 | 电信 | 172.64.148.18 | 44.58ms | 37.46mb/s
172.64.153.218:443#麒麟优选 | 电信 | 172.64.153.218 | 44.24ms | 27.90mb/s
104.18.40.197:443#麒麟优选 | 电信 | 104.18.40.197 | 44.09ms | 17.45mb/s
172.64.158.47:443#麒麟优选 | 电信 | 172.64.158.47 | 43.98ms | 7.41mb/s
104.26.10.215:443#麒麟优选 | 联通 | 104.26.10.215 | 67.31ms | 51.83mb/s
162.159.144.29:443#麒麟优选 | 联通 | 162.159.144.29 | 67.55ms | 51.62mb/s
162.159.147.223:443#麒麟优选 | 联通 | 162.159.147.223 | 67.96ms | 50.62mb/s
162.159.137.218:443#麒麟优选 | 联通 | 162.159.137.218 | 65.84ms | 47.46mb/s
104.20.20.82:443#麒麟优选 | 联通 | 104.20.20.82 | 68.06ms | 46.96mb/s
162.159.146.103:443#麒麟优选 | 联通 | 162.159.146.103 | 66.83ms | 44.44mb/s
162.159.131.229:443#麒麟优选 | 联通 | 162.159.131.229 | 66.35ms | 43.84mb/s
104.20.26.188:443#麒麟优选 | 联通 | 104.20.26.188 | 66.27ms | 42.83mb/s
162.159.152.25:443#麒麟优选 | 联通 | 162.159.152.25 | 65.99ms | 37.42mb/s
162.159.155.118:443#麒麟优选 | 联通 | 162.159.155.118 | 66.81ms | 37.14mb/s
104.17.110.125:443#麒麟优选 | 移动 | 104.17.110.125 | 54.70ms | 0.29mb/s
104.17.123.11:443#麒麟优选 | 移动 | 104.17.123.11 | 55.12ms | 0.27mb/s
104.17.155.4:443#麒麟优选 | 移动 | 104.17.155.4 | 55.20ms | 0.27mb/s
104.18.35.2:443#麒麟优选 | 移动 | 104.18.35.2 | 54.29ms | 0.25mb/s
104.18.39.49:443#麒麟优选 | 移动 | 104.18.39.49 | 54.55ms | 0.25mb/s
104.17.31.52:443#麒麟优选 | 移动 | 104.17.31.52 | 53.88ms | 0.23mb/s
172.64.155.223:443#麒麟优选 | 移动 | 172.64.155.223 | 52.00ms | 0.16mb/s
104.17.125.190:443#麒麟优选 | 移动 | 104.17.125.190 | 54.22ms | 0.15mb/s
104.17.217.137:443#麒麟优选 | 移动 | 104.17.217.137 | 52.91ms | 0.12mb/s
104.17.101.220:443#麒麟优选 | 移动 | 104.17.101.220 | 52.13ms | 0.10mb/s
104.18.44.136:443#麒麟优选 | 多线 | 104.18.44.136 | 70.02ms | 17.51mb/s
172.64.154.199:443#麒麟优选 | 多线 | 172.64.154.199 | 68.89ms | 15.61mb/s
172.64.147.146:443#麒麟优选 | 多线 | 172.64.147.146 | 69.00ms | 14.72mb/s
172.64.229.32:443#麒麟优选 | 多线 | 172.64.229.32 | 45.63ms | 14.65mb/s
172.64.148.147:443#麒麟优选 | 多线 | 172.64.148.147 | 70.73ms | 13.38mb/s
104.18.41.120:443#麒麟优选 | 多线 | 104.18.41.120 | 69.07ms | 12.83mb/s
104.18.43.1:443#麒麟优选 | 多线 | 104.18.43.1 | 70.04ms | 12.29mb/s
104.18.32.108:443#麒麟优选 | 多线 | 104.18.32.108 | 68.40ms | 1.45mb/s
104.18.36.66:443#麒麟优选 | 多线 | 104.18.36.66 | 66.23ms | 0.16mb/s
172.64.146.175:443#麒麟优选 | 多线 | 172.64.146.175 | 70.30ms | 0.13mb/s
162.159.197.1:443#麒麟优选 | 分享免费优选网 BestCF.pages.dev
